"AphiaID";"ScientificName";"Name";"Rank";"Authority";"Kingdom";"Phylum";"ParentID";"url"
127185;"Oncorhynchus mykiss";"Oncorhynchus mykiss";"Species";"(Walbaum, 1792)";"Animalia";"Chordata";126140;"http://marinespecies.org/aphia.php?p=taxdetails&id=127185"
233942;"Acipenser baerii";"Acipenser baerii";"Species";"Brandt, 1869";"Animalia";"Chordata";125618;"http://marinespecies.org/aphia.php?p=taxdetails&id=233942"
126278;"Acipenser stellatus";"Acipenser stellatus";"Species";"Pallas, 1771";"Animalia";"Chordata";125618;"http://marinespecies.org/aphia.php?p=taxdetails&id=126278"
127184;"Oncorhynchus kisutch";"Oncorhynchus kisutch";"Species";"(Walbaum, 1792)";"Animalia";"Chordata";126140;"http://marinespecies.org/aphia.php?p=taxdetails&id=127184"
1022721;"Piaractus brachypomus";"Piaractus brachypomus";"Species";"(Cuvier, 1818)";"Animalia";"Chordata";270405;"http://marinespecies.org/aphia.php?p=taxdetails&id=1022721"
217476;"Gymnomuraena zebra";"Gymnomuraena zebra";"Species";"(Shaw, 1797)";"Animalia";"Chordata";203816;"http://marinespecies.org/aphia.php?p=taxdetails&id=217476"
154298;"Carassius auratus";"Carassius auratus";"Species";"(Linnaeus, 1758)";"Animalia";"Chordata";154296;"http://marinespecies.org/aphia.php?p=taxdetails&id=154298"
157535;"Polydora aggregata";"Polydora aggregata";"Species";"Blake, 1969";"Animalia";"Annelida";129619;"http://marinespecies.org/aphia.php?p=taxdetails&id=157535"
395099;"Diadumene lineata";"Diadumene lineata";"Species";"(Verrill, 1869)";"Animalia";"Cnidaria";100728;"http://marinespecies.org/aphia.php?p=taxdetails&id=395099"
712167;"Austrominius modestus";"Austrominius modestus";"Species";"(Darwin, 1854)";"Animalia";"Arthropoda";534790;"http://marinespecies.org/aphia.php?p=taxdetails&id=712167"
146768;"Caprella mutica";"Caprella mutica";"Species";"Schurin, 1935";"Animalia";"Arthropoda";101430;"http://marinespecies.org/aphia.php?p=taxdetails&id=146768"
158417;"Hemigrapsus sanguineus";"Hemigrapsus sanguineus";"Species";"(De Haan, 1835 [in De Haan, 1833-1850])";"Animalia";"Arthropoda";106964;"http://marinespecies.org/aphia.php?p=taxdetails&id=158417"
131191;"Streblospio benedicti";"Streblospio benedicti";"Species";"Webster, 1879";"Animalia";"Annelida";129627;"http://marinespecies.org/aphia.php?p=taxdetails&id=131191"
333652;"Hypereteone heteropoda";"Hypereteone heteropoda";"Species";"(Hartman, 1951)";"Animalia";"Annelida";146983;"http://marinespecies.org/aphia.php?p=taxdetails&id=333652"
131143;"Polydora cornuta";"Polydora cornuta";"Species";"Bosc, 1802";"Animalia";"Annelida";129619;"http://marinespecies.org/aphia.php?p=taxdetails&id=131143"
